=== DELTARUNE GC crash log ===
VM: Initialized with 11158 global vars, sparse self vars (hashmap), 1985 functions mapped
VM: Reset complete (11158 global vars cleared)
VM: Reset complete (11158 global vars cleared)
Runner: First room index: 0, room count: 147
Runner: Executing global init script: gml_GlobalScript_scr_debug_save_trophies
Runner: Executing global init script: gml_GlobalScript_switch_asyncPause
Runner: Executing global init script: gml_GlobalScript_ossafe_init
Runner: Executing global init script: gml_GlobalScript_scr_debug_load_trophies
Runner: Executing global init script: gml_GlobalScript_scr_chapter_save_file_exists
Runner: Executing global init script: gml_GlobalScript_scr_setparty
Runner: Executing global init script: gml_GlobalScript_scr_test_save_data
Runner: Executing global init script: gml_GlobalScript_scr_get_valid_room
Runner: Executing global init script: gml_GlobalScript_scr_load_audio
Runner: Executing global init script: gml_GlobalScript_onSteamDeck
Runner: Executing global init script: gml_GlobalScript_scr_debug_print
Runner: Executing global init script: gml_GlobalScript_scr_os_checks
Runner: Executing global init script: gml_GlobalScript_scr_getbuttonsprite
Runner: Executing global init script: gml_GlobalScript_scr_ini_chapter
Runner: Executing global init script: gml_GlobalScript_show_debug_message_concat
Runner: Executing global init script: gml_GlobalScript_scr_init_launch_parameters
Runner: Executing global init script: gml_GlobalScript_macros
Runner: Executing global init script: gml_GlobalScript_scr_become_dark
Runner: Executing global init script: gml_GlobalScript_scr_become_light
Runner: Executing global init script: gml_GlobalScript_scr_npcdir
Runner: Executing global init script: gml_GlobalScript_scr_interact
Runner: Executing global init script: gml_GlobalScript_scr_phonename
Runner: Executing global init script: gml_GlobalScript_scr_writetext
Runner: Executing global init script: gml_GlobalScript_scr_litemuseb
Runner: Executing global init script: gml_GlobalScript_scr_litemremove
Runner: Executing global init script: gml_GlobalScript_scr_litemget
Runner: Executing global init script: gml_GlobalScript_scr_litemshift
Runner: Executing global init script: gml_GlobalScript_scr_litemdesc
Runner: Executing global init script: gml_GlobalScript_scr_lrecover
Runner: Executing global init script: gml_GlobalScript_scr_lrecoitem
Runner: Executing global init script: gml_GlobalScript_scr_litemname
Runner: Executing global init script: gml_GlobalScript_scr_lweaponeq
Runner: Executing global init script: gml_GlobalScript_scr_litemcheck
Runner: Executing global init script: gml_GlobalScript_scr_phoneadd
Runner: Executing global init script: gml_GlobalScript_scr_darkbox
Runner: Executing global init script: gml_GlobalScript_scr_darkbox_black
Runner: Executing global init script: gml_GlobalScript_scr_asterskip
Runner: Executing global init script: gml_GlobalScript_scr_dbox
Runner: Executing global init script: gml_GlobalScript_scr_get_room_by_id
Runner: Executing global init script: gml_GlobalScript_scr_facechoice
Runner: Executing global init script: gml_GlobalScript_scr_nextmsg
